name	offset	segment
_SaveHandles	0x0007f7bc	1
_Shift	0x000026b6	1
_Shift1	0x000026b9	1
_ShowClip	0x00077e18	1
_ShowStupidFirstPersonWeapon	0x00065cf8	1
_Side_FPS	0x00063454	1
_SlotToDisplay	0x0006625a	1
_SoundDirectory	0x0006669f	1
_SpecShadeMode	0x00066665	1
_TP	0x00079650	1
_ThePlayer	0x0007ccfc	1
_Time	0x000687a0	1
_TimeStop	0x000795f4	1
_Tinagi	0x0008b43a	1
_Transparency	0x00077e19	1
_Treasure	0x000817f0	1
_Triggers	0x0007fa88	1
_TurnInpRate	0x00065bae	1
_TxmCol	0x0007debc	1
_TxmID	0x0007cc74	1
_TxmTerr	0x0007cbf4	1
_UsPtr	0x0007cddc	1
_UsingPole	0x00066667	1
_ValidLightSlots	0x00066114	1
_Valor	0x000795f9	1
_Wbottom	0x00077d5a	1
_Weapons	0x0007de02	1
_WizEye	0x000795f6	1
_Wleft	0x00077d4e	1
_WorkPath	0x0007df1a	1
_Workspace	0x0007ce00	1
_Wright	0x00077d56	1
_Wtop	0x00077d52	1
_XP	0x0007ced6	1
_YP	0x0007ceb8	1
_Ytab	0x0007c088	1
__Bits	0x00078b08	1
__CHK	0x00061263	1
__CMain	0x0005fdff	1
__D16Infoseg	0x00063414	1
__DOSseg__	0x00001234	0
__EINVAL_	0x000604ef	1
__Envptr	0x00078674	1
__Envseg	0x00078678	1
__ExpandDGROUP_	0x0005ff3d	1
__Extender	0x00078672	1
__FPE_handler	0x0007867c	1
__FiniRtns	0x0005fd93	1
__GDAptr	0x00063410	1
__GETDS	0x000029af	1
__GRO	0x00061273	1
__InitRtns	0x0005fd54	1
__Init_Argv_	0x000612ab	1
__IsTable	0x000789d0	1
__LastFree_	0x0005fe7d	1
__LpCmdLine	0x00078650	1
__LpPgmName	0x00078654	1
__MemAllocator	0x00060234	1
__MemFree	0x000602e4	1
__STACKLOW	0x0007865c	1
__STACKTOP	0x00078660	1
__STK	0x00061276	1
__STKOVERFLOW_	0x00061293	1
___EFG_printf	0x000789c0	1
___EFG_scanf	0x000789c4	1
___FPE_handler	0x0007867c	1
___FPE_handler_exit	0x0007868c	1
___NFiles	0x000788d0	1
____Argc	0x0009aaec	1
____Argv	0x0009aae8	1
___atexit	0x00078684	1
___dilyr	0x00078aee	1
___diyr	0x00078ad4	1
___dst_adjust	0x00078970	1
___end_dst	0x00078948	1
___env_mask	0x000789cc	1
___fheap_clean	0x0009aadd	1
___int23_exit	0x00078688	1
___iob	0x0007869c	1
___ioexit	0x00078680	1
___minreal	0x0009aaf0	1
___nheap	0x0007860c	1
___nheap_clean	0x0009aadc	1
___nheapbeg	0x00078610	1
___nheapblk	0x00078614	1
___start_dst	0x00078924	1
___tmpfnext	0x000788a4	1
___umaskval	0x00078694	1
__allocfp_	0x000605bf	1
__amblksiz	0x00078690	1
__argc	0x00078640	1
__argv	0x00078644	1
__atype	0x00066bd4	1
__bit_offset	0x0007ce38	1
__bits_left	0x0007ce86	1
__brk_	0x0006147b	1
__brktime_	0x00061b5f	1
__byte_offset	0x0007ce3a	1
__cbyte	0x00078664	1
__cbyte2	0x00078668	1
__child	0x0007866c	1
__chktty_	0x00060f40	1
__clear_code	0x0007ce34	1
__code_buffer	0x0007cdac	1
__code_size	0x0007ceac	1
__curbrk	0x0007864c	1
__currentcode	0x0007cd6c	1
__dbend	0x00076252	1
__dblen	0x00076252	1
__dbstart	0x0006c0d4	1
__doclose_	0x0005fc5b	1
__doserrno	0x0009aae4	1
__doserror_	0x000603f0	1
__dynend	0x00078648	1
__eof_code	0x0007ce36	1
__exit_	0x0000297f	1
__exit_with_msg_	0x00002981	1
__filbuf_	0x000610d9	1
